Survey,Site,River_Basin,Habitat,Soil_pH,Nitrate_Nitrogen,Phosphorus,Calcium,Magnesium,Potassium,Sodium,Manganese,Copper,Zinc,Boron,Cation_Exchange_Capacity,Total_Base_Saturation,Sand,Silt,Clay
Blanquillo_floodplain,Blanquillo,Madre_de_Dios,floodplain,5.2,1,6.5,864,278,42.5,136,7,0.65,1,0.1,14.1,52,2.6,33,64.4
BocaManu_floodplain,BocaManu,Manu,floodplain,5.9,1.5,5.5,2260.5,244.5,64.5,19.5,16.5,0.8,1.3,0.25,17.6,77,5.4,46,48.6
Camungo_floodplain,Camungo,Madre_de_Dios,floodplain,6.2,1.5,57,1853,177.5,52.5,11,17.5,2.15,2.05,0.15,14.1,77,3.7,72.2,24.1
CICRA_floodplain,CICRA,Los_Amigos,floodplain,4.9,1.4,3.3,861.3,184.8,55.5,11.9,47.9,1.3,2.21,0.03,12.9,47,9.8,48.9,41.3
CM2_floodplain,CM2,Los_Amigos,floodplain,5.4,0,3.5,1473,214.5,65.5,8.5,33,1.05,1.6,0.1,13,72,5.8,54.1,40.2
CM3_floodplain,CM3,Los_Amigos,floodplain,5,1,2,524.5,64.5,19,7.5,19.5,0.7,1.15,0.05,5.6,58,58,30.2,11.8
CochaCashu_floodplain,CochaCashu,Manu,floodplain,5.8,2.2,28.4,1943.9,255.8,63.1,11.4,95.6,1.01,4.01,0.18,15.7,77,21.7,42.7,35.6
LasPiedras_floodplain,LasPiedras,Las_Piedras,floodplain,5.3,1.3,3.8,949.5,176.5,44,8.5,28.8,0.58,1.88,0.08,10.4,61,39.5,38.6,21.9
Maizal_floodplain,Maizal,Manu,floodplain,6.7,0.5,35.5,2292,239,84,9,26.5,0.9,2.75,0.3,15.7,87,5.6,66,28.5
Otorongo_floodplain,Otorongo,Manu,floodplain,6.4,0,18.5,2034.5,248,79,9,16,1.05,1.75,0.25,15.7,79,9.6,56,34.4
Pakitza_floodplain,Pakitza,Manu,floodplain,6.2,1.5,9.5,2108,226,66.5,11,12.5,0.7,3,0.3,15.8,80,21.9,45.1,33
Refugio_floodplain,Refugio,Los_Amigos,floodplain,5.3,0.5,3.5,653.5,125.5,31,6,27,0.5,1.25,0.05,6.8,65,60.6,28.8,10.6
Salvador_floodplain,Salvador,Manu,floodplain,6.4,1,14,2145.5,323,88.5,11.5,14,0.95,1.7,0.25,17.3,79,4.4,56.8,38.8
Tambopata_floodplain,Tambopata,Tambopata,floodplain,5,1.3,5,403.3,138,30,7,27.5,1.15,1.98,0,8.3,40,11.5,65.6,22.9
BocaManu_upland,BocaManu,Manu,upland,4.4,2,4,114.5,22,22,11.5,92,0.65,1.25,0.05,5.7,15,50.6,32.2,17.1
CICRA_upland,CICRA,Los_Amigos,upland,4,2.4,4,53.1,13.7,19.2,5.7,6.7,1.14,2.12,0.01,5.2,9,56.3,21.4,22.3
CM2_upland,CM2,Los_Amigos,upland,4.2,0.5,3,40.5,11,17,4.5,24.5,0.95,0.65,0,3.6,10,67.4,21.2,11.5
CM3_upland,CM3,Los_Amigos,upland,4.9,0,2,84,12,17,5.5,65.5,0.65,0.5,0.05,1.8,33,82,11.4,6.6
CochaCashu_upland,CochaCashu,Manu,upland,4.6,2.3,5.4,141.4,29,28.5,4.5,44.1,0.64,1.74,0,4.4,25,57.9,30.5,11.5
LasPiedras_upland,LasPiedras,Las_Piedras,upland,5.6,1.8,1.8,271.3,37.5,32.3,4.3,74.5,0.65,3,0.05,3.4,50,71.4,22.3,6.3
Maizal_upland,Maizal,Manu,upland,5.9,2,4,543,96.5,35.5,4,103.5,0.5,9.15,0.15,5.6,65,66.2,21.8,12
Pakitza_upland,Pakitza,Manu,upland,4.5,1.5,4.5,104.5,28.5,33,5,15.5,0.65,0.95,0.05,4.9,18,52.5,27.6,20
Refugio_upland,Refugio,Los_Amigos,upland,4.4,0,2.5,41.5,10.5,14.5,3.5,15,0.45,0.95,0,1.9,18,80.3,12.2,7.5
Salvador_upland,Salvador,Manu,upland,4.3,2,4.5,91,20,27,4.5,5,0.4,0.65,0.05,3.1,23,73.8,15.9,10.3
Tambopata_upland,Tambopata,Tambopata,upland,4.2,2.3,4.3,39,15.5,35.8,5.5,12,0.83,0.88,0,6.7,7,48.3,24.6,27
